Tempat,Lokasi,Jalan,Kecamatan,Kota,Provinsi,Jam buka,Harga,Latitude,Longitude
Bumi Perkemahan Ranca Cangkuang PPTK Gambung,"Jl. Mekarsari, Pasirjambu, Bandung, Jawa Barat",Jl. Mekarsari,Pasirjambu,Bandung,Jawa Barat,06.00 - 23.00 WIB,Paket Tenda Dome Rp 165.000,-7.132671565,107.5050092
Punceling Pas Camping Ground & Hot Spring,"Jl. Lebakmuncang, Ciwidey, Bandung, Jawa Barat",Jl. Lebakmuncang,Ciwidey,Bandung,Jawa Barat,08.00 - 17.00 WIB,Paket Reguler Rp 300.000,-7.141388683,107.4144523
Bale Bambu Adventure Resort,"Jl. Raya Soreang, Ciwidey, Kec. Bandung, Jawa Barat",Jl. Raya Soreang,Ciwidey,Bandung,Jawa Barat,08.00 - 20.00 WIB,Rp 200.000,-7.049427422,107.4989223
Hejo Forest,"Jl. Patengan, Rancabali, Bandung, Jawa Barat",Jl. Patengan,Rancabali,Bandung,Jawa Barat,24 jam,Rp 200.000,-7.142943348,107.3917968
