tempat,lokasi,jalan,kecamatan,kota,provinsi,jam buka,harga,latitude,longitude
Cozyland Camping Ground,"Jl. Genteng, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,24 jam,Rp 25.000/orang,-6.78152,107.6442
Orchid Forest Cikole,"Jl. Genteng, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 09.00 - 18.00 ,Rp 450.000/4 orang,-6.78022,107.6375
Jungle Milk Jayagiri,"Jl. Genteng, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,24 jam,Rp 125.000/orang,-6.77653,107.6247
Cikole Camp Park,"Jl. Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Cikole,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 08.00 - 16.00 ,Rp 25.000/orang,-6.78184,107.6499
Sunrise Point CUKUL,"Jl. Cukul, Sukaluyu, Kec. Pangalengan, Bandung, Jawa Barat",Jl. Cukul,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 05.00 - 17.00 Jumat - Minggu 24 jam,Rp 40.000,-7.23347,107.5344
Situ Cileunca,"Jl. Situ Cileunca, Danau Pangalengan, Wanasari, Bandung Selatan, Jawa Barat",Jl. Situ Cileunca,Pangalengan,Bandung,Jawa Barat,Setiap hari : 07.00 - 17.00 ,Rp 225.000 - Rp 385.000,-7.19483,107.5459
Hutan Pinus Rahong,"Jl. Pulosari, Pangalengan, Bandung, Jawa Barat",Jl. Pulosari,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 06.30 - 18.00 ,Rp 20.000,-7.18047,107.5476
Cileunca Lakeside,"Jl. Kp Parabon Desa Wanasari, Kec. Pangalengan, Bandung Selatan, Jawa Barat",Jl. Kp Parabon,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 08.00 - 7.00 ,Rp 225.000/orang,-7.19693,107.5461
Artapela Hill,"Jl. Sukapura, Kertasari, Bandung, Jawa Barat",Jl. Sukapura,Kertasari,Bandung,Jawa Barat,Senin - Jumat 24 jam,Rp 5.000/orang,-7.17345,107.6544
Datar Pinus Camp,"Jl. Pulosari, Pangalengan, Bandung, Jawa Barat",Jl. Pulosari,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 08.00 - 17.00 Sabtu - Minggu 24 jam,Rp 75.000,-7.18518,107.5498
