Tempat,Lokasi,Jalan,Kecamatan,Kota,Provinsi,Jam buka,Harga,Latitude,Longitude
Cozyland Camping Ground,"Jl. Genteng, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 24 jam,Rp 25.000/orang,-6.78152403,107.6442461
Orchid Forest Cikole,"Jl. Genteng, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 09.00 - 18.00 WIB,Rp 450.000/4 orang,-6.780216691,107.6375287
Jungle Milk Jayagiri,"Jl. Genteng, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 24 jam,Rp 125.000/orang,-6.77653462,107.6246576
Cikole Camp Park,"Jl. Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Cikole,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 08.00 - 16.00 WIB,Rp 25.000/orang,-6.781843119,107.6498801
